b,a,c,d,e
0.4783499836921692,100,0.23333333333333334,0.0,0
0.3009589612483978,150,0.1,0.0,1
0.2997075021266937,200,0.12,0.0,2
0.24862471222877502,250,0.17,0.0,3
0.1900131106376648,300,0.1,0.0,4
0.18716339766979218,400,0.13,0.0,5
0.12116958945989609,500,0.07,0.0,6
0.10918215662240982,750,0.09,0.0,7
0.062457747757434845,1000,0.06,0.0,8
0.030753444880247116,2000,0.03,0.0,9
0.012121533043682575,4000,0.06,0.0,10
0.015350505709648132,8000,0.06,0.0,11
